id,position,name,score,ratings,category,price_range,lat,lng,address,city,state,zip_code
34709,142,Tia's Taco Hut (St. Mary's),4.3,13,"Mexican, Breakfast and Brunch, Tacos",$,29.43435,-98.48596,1203 North Saint Marys Street, San Antonio, TX,78215
34711,140,Rios Meat Market,4.2,62,"Breakfast and Brunch, American, Sandwiches",$,29.3463691,-98.5334249,8030 S Zarzamora St, San Antonio, TX,78224
34712,137,Hometown Burger (11910 Blanco Rd.),4.4,22,"Burgers, American, Sandwiches",$,29.54959,-98.51048,11910 Blanco Rd #101, San Antonio, TX,78216
34713,136,SA seafood,4.4,93,"Seafood, American, Southern",,29.5638392,-98.5866372,5222 De Zavala Rd, San Antonio, TX,78230
34714,134,Teka Molino,4.4,22,"Mexican, Burritos, Tacos, Quesadillas",$,29.514771,-98.499701,7231 San Pedro Ave, San Antonio, TX,78216
34715,133,Long John Silver's (3318 SE Military Dr),4.3,44,"American, Family Meals, Fish and Chips, Seafood, Chicken",$,29.3513,-98.432567,3318 SE Military Dr., San Antonio, TX,78223
34717,130,Cafe Rosa 3,4.5,39,"Mexican, Breakfast and Brunch",$,29.4854434,-98.559754,2817 Hillcrest Dr, San Antonio, TX,78201
34718,124,Teka Molino 2,4.6,45,"Mexican, Burritos, Tacos, Quesadillas",$$,29.485138,-98.42882,1007 Rittiman Rd, San Antonio, TX,78218
34719,120,El Taco - Stone Oak,4.7,32,"Mexican, Family Meals, New Mexican",$,29.627486,-98.494453,19202 Stone Oak Pkwy, San Antonio, TX,78258
34720,116,Hash Vegan Eats,4.8,49,"Vegetarian, Vegan, Healthy",,29.37603,-98.4994,5007 South Flores Street, San Antonio, TX,78214
34721,113,Jimmy Buffett's Margaritaville (San Antonio),3.9,10,"Bar Food, American, Traditional American, Family Meals",$,29.4232731,-98.4844152,849 E Commerce St, San Antonio, TX,78205
34722,112,Papa Johns (12642 Nacogdoches Rd),4.5,23,"Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food",$,29.5551196,-98.4007624,12642 Nacogdoches Rd, San Antonio, TX,78217
34723,111,Regio Cafe,4.6,39,"Breakfast and Brunch, Mexican",$,29.4453197,-98.491601,1706 McCullough Ave, San Antonio, TX,78212
34724,107,Duck Donuts (11703 Huebner Rd Ste 113),4.8,77,"Desserts, Breakfast and Brunch",$$,29.5518327,-98.5731337,11703 Huebner Rd Ste 113, San Antonio, TX,78230
34725,104,Firehouse Subs (1802 N. Loop 1604 E. #104),4.6,89,"Sandwich, Deli, Salads, Healthy",$,29.606919,-98.4631027,1802 N. Loop 1604 E. #104, San Antonio, TX,78232
34726,95,Cici's (San Pedro),4.4,21,"Pizza, Wings",$,29.5070751,-98.4983898,6900 San Pedro Ave, San Antonio, TX,78216
34730,81,Stuffed,4.5,24,"Burritos, Mexican, Tex Mex",,29.488666,-98.58388,4939 Northwest Loop 410, San Antonio, TX,78229
34731,80,Super Donut,4.8,22,"Burgers, American, Sandwiches",$,29.4663341,-98.3578704,6658 Summer Fest Dr, San Antonio, TX,78244
34732,76,Rusty Taco (17026 Bulverde Rd),4.2,42,"Mexican, South American",$,29.59781,-98.41795,17026 Bulverde Road, San Antonio, TX,78247
34733,75,Zedric's Fit with Flavor (The Colonnade),4.6,44,"Healthy, Gluten Free, Breakfast and Brunch",$,29.5333141,-98.5611272,9873 I-10, San Antonio, TX,78230
34735,68,PAWSitively Sweet Bakery,,,"pet supplies, Retail",$,29.50331,-98.50735,5501 Blanco Rd, San Antonio, TX,78216
